Fecha;Camas UCI ocupadas Covid-19;Total camas UCI COVID 19 reportadas por IPS;Ocupación UCI COVID 19
8/04/2020;106.00;543;19.50%
9/04/2020;136.00;608;22.40%
10/04/2020;150.00;596;25.20%
11/04/2020;148.00;597;24.80%
12/04/2020;178.00;576;30.90%
13/04/2020;153.00;562;27.20%
14/04/2020;142.00;481;29.50%
15/04/2020;157.00;540;29.10%
16/04/2020;150.00;541;27.70%
17/04/2020;130.00;540;24.10%
18/04/2020;137.00;539;25.40%
19/04/2020;138.00;539;25.60%
20/04/2020;142.00;548;25.90%
21/04/2020;143.00;548;26.10%
22/04/2020;151.00;545;27.70%
23/04/2020;151.00;558;27.10%
24/04/2020;154.00;558;27.60%
25/04/2020;149.00;563;26.50%
26/04/2020;173.00;563;30.70%
27/04/2020;165.00;563;29.30%
28/04/2020;176.00;563;31.30%
29/04/2020;180.00;543;33.10%
30/04/2020;175.00;543;32.20%
1/05/2020;172.00;543;31.70%
2/05/2020;183.00;543;33.70%
3/05/2020;175.00;547;32.00%
4/05/2020;179.00;547;32.70%
5/05/2020;175.00;559;31.30%
6/05/2020;189.00;569;33.20%
7/05/2020;200.00;557;35.90%
8/05/2020;208.00;553;37.60%
9/05/2020;187.00;565;33.10%
10/05/2020;190.00;562;33.80%
11/05/2020;190.00;557;34.10%
12/05/2020;195.00;568;34.30%
13/05/2020;206.00;582;35.40%
14/05/2020;194.00;584;33.20%
15/05/2020;179.00;591;30.30%
16/05/2020;203.00;593;34.20%
17/05/2020;217.00;610;35.60%
18/05/2020;217.00;613;35.40%
19/05/2020;235.00;634;37.10%
20/05/2020;232.00;638;36.40%
21/05/2020;227.00;638;35.60%
22/05/2020;242.00;646;37.50%
23/05/2020;246.00;648;38.00%
24/05/2020;266.00;665;40.00%
25/05/2020;280.00;668;41.90%
26/05/2020;298.00;668;44.60%
27/05/2020;298.00;668;44.60%
28/05/2020;283.00;668;42.40%
29/05/2020;286.00;670;42.70%
30/05/2020;276.00;670;41.20%
31/05/2020;290.00;670;43.30%
1/06/2020;295.00;670;44.00%
